Title;J90
Description;Dataset proposed in the paper Kolisch, R. and A. Sprecher (1996): PSPLIB - A project scheduling library, European Journal of Operational Research, Vol. 96,pp. 205--216.
Number;480
Format;sm
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
1;j901_1.sm;0;0;73;6;435500;73;6;435500;73;6;435500;67;507;90;1,467;0,176;0,101;0,333;0,009;0,794;0,164;4;0,250;1,000;0,201;0,401;0;0,000;0,000;0,000;0,000;1,000
2;j901_2.sm;0;0;92;2;24;92;1;60716;92;6;30;88;478;90;1,467;0,223;0,180;0,465;0,002;0,704;0,400;4;0,250;1,000;0,205;0,360;0;0,000;0,000;0,000;0,000;1,000
3;j901_3.sm;0;0;66;8;70;66;3;10000;66;8;70;59;459;90;1,467;0,183;0,112;0,349;0,009;0,780;0,220;4;0,250;1,000;0,201;0,364;0;0,000;0,000;0,000;0,000;1,000
4;j901_4.sm;0;0;86;8;170;86;3;10000;86;8;170;76;493;90;1,467;0,198;0,124;0,357;0,002;0,778;0,238;4;0,250;1,000;0,189;0,386;0;0,000;0,000;0,000;0,000;1,000
5;j901_5.sm;0;0;87;6;2010;87;6;2010;87;6;2010;84;468;90;1,467;0,204;0,146;0,312;0,006;0,719;0,274;4;0,250;1,000;0,187;0,391;0;0,000;0,000;0,000;0,000;1,000
6;j901_6.sm;0;0;74;6;1617360;74;6;1617360;74;6;1617360;61;497;90;1,467;0,193;0,124;0,392;0,005;0,760;0,287;4;0,250;1,000;0,183;0,355;0;0,000;0,000;0,000;0,000;1,000
7;j901_7.sm;0;0;91;6;770;91;1;60088;91;6;770;83;503;90;1,467;0,214;0,124;0,308;0,009;0,780;0,182;4;0,250;1,000;0,203;0,394;0;0,000;0,000;0,000;0,000;1,000
8;j901_8.sm;0;0;95;8;60;95;3;10000;95;8;60;85;546;90;1,467;0,228;0,135;0,344;0,007;0,758;0,221;4;0,250;1,000;0,206;0,411;0;0,000;0,000;0,000;0,000;1,000
9;j901_9.sm;0;0;72;6;63610;72;6;63610;72;6;63610;66;473;90;1,467;0,213;0,124;0,371;0,007;0,769;0,265;4;0,250;1,000;0,204;0,341;0;0,000;0,000;0,000;0,000;1,000
10;j901_10.sm;0;0;90;6;1090;90;6;1090;90;6;1090;87;530;90;1,467;0,225;0,146;0,403;0,008;0,733;0,252;4;0,250;1,000;0,198;0,380;0;0,000;0,000;0,000;0,000;1,000
