Title;J120
Description;Dataset proposed in the paper Kolisch, R. and A. Sprecher (1996): PSPLIB - A project scheduling library, European Journal of Operational Research, Vol. 96,pp. 205--216.
Number;600
Format;sm
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
1;j1201_1.sm;0;0;104;4;0;105;3;160;0;0;0;99;667;120;1,475;0,182;0,143;0,457;0,004;0,738;0,438;4;0,250;1,000;0,097;0,446;0;0,000;0,000;0,000;0,000;1,000
2;j1201_2.sm;0;0;109;10;1740;109;10;1740;109;10;1740;86;642;120;1,475;0,194;0,126;0,344;0,005;0,754;0,283;4;0,250;1,000;0,106;0,447;0;0,000;0,000;0,000;0,000;1,000
3;j1201_3.sm;0;0;125;4;0;125;3;14000;125;4;0;82;663;120;1,475;0,176;0,109;0,376;0,007;0,756;0,295;4;0,250;1,000;0,095;0,418;0;0,000;0,000;0,000;0,000;1,000
4;j1201_4.sm;0;0;97;10;310;97;3;13000;97;10;310;79;610;120;1,475;0,175;0,118;0,347;0,003;0,758;0,294;4;0,250;1,000;0,092;0,443;0;0,000;0,000;0,000;0,000;1,000
5;j1201_5.sm;0;0;112;10;1120;112;3;13000;112;10;1120;94;652;120;1,475;0,211;0,109;0,341;0,004;0,783;0,189;4;0,250;1,000;0,111;0,420;0;0,000;0,000;0,000;0,000;1,000
6;j1201_6.sm;0;0;84;10;120;84;3;13000;84;10;120;65;589;120;1,475;0,168;0,109;0,412;0,004;0,814;0,300;4;0,250;1,000;0,099;0,387;0;0,000;0,000;0,000;0,000;1,000
7;j1201_7.sm;0;0;117;10;280;117;3;13000;117;10;280;98;667;120;1,475;0,193;0,126;0,344;0,005;0,735;0,304;4;0,250;1,000;0,100;0,439;0;0,000;0,000;0,000;0,000;1,000
8;j1201_8.sm;0;0;109;4;0;109;3;14000;109;4;0;85;635;120;1,475;0,197;0,143;0,377;0,006;0,747;0,353;4;0,250;1,000;0,106;0,442;0;0,000;0,000;0,000;0,000;1,000
9;j1201_9.sm;0;0;112;10;450;112;3;13000;112;10;450;89;682;120;1,475;0,185;0,118;0,378;0,003;0,717;0,282;4;0,250;1,000;0,108;0,445;0;0,000;0,000;0,000;0,000;1,000
10;j1201_10.sm;0;0;108;4;0;108;3;13000;108;4;0;89;631;120;1,475;0,179;0,126;0,426;0,005;0,789;0,338;4;0,250;1,000;0,105;0,424;0;0,000;0,000;0,000;0,000;1,000
11;j1202_1.sm;0;0;87;10;140;87;3;14000;87;10;140;70;628;120;1,475;0,154;0,092;0,374;0,006;0,798;0,215;4;0,250;1,000;0,198;0,339;0;0,000;0,000;0,000;0,000;1,000
12;j1202_2.sm;0;0;75;4;0;75;3;14000;75;4;0;73;632;120;1,475;0,168;0,101;0,403;0,007;0,798;0,255;4;0,250;1,000;0,201;0,306;0;0,000;0,000;0,000;0,000;1,000
13;j1202_3.sm;0;0;92;10;520;92;3;13000;92;10;520;78;737;120;1,475;0,168;0,101;0,383;0,004;0,779;0,219;4;0,250;1,000;0,205;0,324;0;0,000;0,000;0,000;0,000;1,000
14;j1202_4.sm;0;0;95;10;90;95;3;13000;95;10;90;88;662;120;1,475;0,189;0,126;0,267;0,005;0,749;0,281;4;0,250;1,000;0,205;0,354;0;0,000;0,000;0,000;0,000;1,000
15;j1202_5.sm;0;0;103;10;230;103;3;14000;103;10;230;91;697;120;1,475;0,180;0,109;0,392;0,007;0,815;0,271;4;0,250;1,000;0,196;0,376;0;0,000;0,000;0,000;0,000;1,000
16;j1202_6.sm;0;0;92;10;90;92;3;12000;92;10;90;75;677;120;1,475;0,177;0,109;0,305;0,007;0,761;0,231;4;0,250;1,000;0,199;0,357;0;0,000;0,000;0,000;0,000;1,000
17;j1202_7.sm;0;0;90;2;57;90;7;560;90;7;560;84;610;120;1,475;0,180;0,118;0,459;0,008;0,812;0,324;4;0,250;1,000;0,200;0,367;0;0,000;0,000;0,000;0,000;1,000
18;j1202_8.sm;0;0;83;7;3600020;83;3;12000;83;10;110;77;614;120;1,475;0,167;0,109;0,396;0,006;0,813;0,266;4;0,250;1,000;0,198;0,341;0;0,000;0,000;0,000;0,000;1,000
19;j1202_9.sm;0;0;94;10;170;94;10;170;94;10;170;92;668;120;1,475;0,187;0,118;0,286;0,004;0,735;0,271;4;0,250;1,000;0,197;0,374;0;0,000;0,000;0,000;0,000;1,000
20;j1202_10.sm;0;0;96;10;240;96;3;16000;96;10;240;79;740;120;1,475;0,156;0,101;0,403;0,003;0,776;0,274;4;0,250;1,000;0,199;0,315;0;0,000;0,000;0,000;0,000;1,000
